threshold,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,pathogenic_recall,specificity,f1,f1_binary,f1_macro,f1_weighted,mcc,cohen_kappa,brier_score,log_loss,ppv,npv,tn,fp,fn,tp,false_negative_rate,false_positive_rate,calibration_quality,medical_utility_score,clinical_safety_score,dataset_split,panel,n
0.69,0.8478143022783056,0.9040847361024198,0.7339566510837229,0.7555493649622458,0.8905630452022204,0.6970825574177529,0.8140161725067385,0.782033426183844,0.782033426183844,0.7203515004419765,0.7431316081638987,0.4761959112554524,0.4534148906405272,0.142691432010178,0.4519997382294056,0.8905630452022204,0.5531135531135531,604,138,488,1123,0.302917442582247,0.1859838274932614,0.4292342719592878,0.7399355109017168,0.6827045383389119,MASTER_ONLY_CV,,2353
0.695,0.8478143022783056,0.9040847361024198,0.7335316617084573,0.7563294633759481,0.8923444976076556,0.6945996275605214,0.8180592991913747,0.7811518324607329,0.7811518324607329,0.7202880292124414,0.742765991398062,0.4774530064635227,0.453774717627863,0.142691432010178,0.4519997382294056,0.8923444976076556,0.5523202911737943,607,135,492,1119,0.3054003724394786,0.1819407008086253,0.4292342719592878,0.7402382696428524,0.6827300169002513,MASTER_ONLY_CV,,2353
0.7,0.8478143022783056,0.9040847361024198,0.7280067998300043,0.7522947023579468,0.8912167606768735,0.686530105524519,0.8180592991913747,0.7755960729312763,0.7755960729312763,0.7151982522153685,0.737504119704584,0.4696232238181069,0.4447717654762423,0.142691432010178,0.4519997382294056,0.8912167606768735,0.545863309352518,607,135,505,1106,0.313469894475481,0.1819407008086253,0.4292342719592878,0.736621625381444,0.6783832133126066,MASTER_ONLY_CV,,2353
0.705,0.8478143022783056,0.9040847361024198,0.7246068848278793,0.7509022371465714,0.8924205378973105,0.6797020484171322,0.8221024258760108,0.7716701902748414,0.7716701902748414,0.7123875576641874,0.7342815686028437,0.4667590804409975,0.4403417975202061,0.142691432010178,0.4519997382294056,0.8924205378973105,0.5417406749555951,610,132,516,1095,0.3202979515828678,0.1778975741239892,0.4292342719592878,0.7349928406193263,0.6760860788461246,MASTER_ONLY_CV,,2353
0.71,0.8478143022783056,0.9040847361024198,0.7212069698257544,0.7487827955046253,0.8923582580115037,0.6741154562383612,0.8234501347708895,0.768033946251768,0.768033946251768,0.709363086011933,0.7310311597681661,0.4626638924202586,0.4352338544734753,0.142691432010178,0.4519997382294056,0.8923582580115037,0.5378521126760564,611,131,525,1086,0.3258845437616387,0.1765498652291105,0.4292342719592878,0.7329791721969696,0.6735514933389336,MASTER_ONLY_CV,,2353
0.715,0.8478143022783056,0.9040847361024198,0.7203569910752231,0.7492525276861737,0.8941273779983457,0.6710117939168219,0.8274932614555256,0.7666666666666667,0.7666666666666667,0.7088900671615412,0.7302278763285425,0.4634395855111336,0.4349492821695275,0.142691432010178,0.4519997382294056,0.8941273779983457,0.5367132867132867,614,128,530,1081,0.3289882060831781,0.1725067385444744,0.4292342719592878,0.7330222427909665,0.6732640762176286,MASTER_ONLY_CV,,2353
0.72,0.8478143022783056,0.9040847361024198,0.7182320441988951,0.7480641847406895,0.8943427620632279,0.6672873991309746,0.8288409703504043,0.7643085673658017,0.7643085673658017,0.7070354247288596,0.7281872993363832,0.4611623978430308,0.4319167414684949,0.142691432010178,0.4519997382294056,0.8943427620632279,0.5343179843614249,615,127,536,1075,0.3327126008690254,0.1711590296495957,0.4292342719592878,0.7318443352744753,0.6717341145121319,MASTER_ONLY_CV,,2353
0.725,0.8478143022783056,0.9040847361024198,0.7173820654483638,0.7485339169222378,0.8961474036850922,0.6641837368094351,0.8328840970350404,0.7629233511586453,0.7629233511586453,0.7065537323915267,0.7273719213879679,0.461978220371649,0.4316418927484211,0.142691432010178,0.4519997382294056,0.8961474036850922,0.5332182916307161,618,124,541,1070,0.3358162631905648,0.1671159029649595,0.4292342719592878,0.7318930679396166,0.6714534222553343,MASTER_ONLY_CV,,2353
0.73,0.8478143022783056,0.9040847361024198,0.7156821079473014,0.7472924519936219,0.8957983193277311,0.6617008069522036,0.8328840970350404,0.7611567297393788,0.7611567297393788,0.704987813688587,0.7257318800073878,0.4596499754144165,0.4289441999177964,0.142691432010178,0.4519997382294056,0.8957983193277311,0.531384350816853,618,124,545,1066,0.3382991930477964,0.1671159029649595,0.4292342719592878,0.7307948497036285,0.6701321529941391,MASTER_ONLY_CV,,2353
0.735,0.8478143022783056,0.9040847361024198,0.712707182320442,0.7454833765838298,0.8958509737510584,0.6567349472377405,0.8342318059299192,0.7578796561604585,0.7578796561604585,0.7023463066591216,0.7228556482301636,0.4562606892053061,0.4246015582438682,0.142691432010178,0.4519997382294056,0.8958509737510584,0.5281569965870307,619,123,553,1058,0.3432650527622595,0.1657681940700808,0.4292342719592878,0.7290764944337563,0.6679513756587693,MASTER_ONLY_CV,,2353
0.74,0.8478143022783056,0.9040847361024198,0.7105822354441139,0.7453854982842019,0.8981164383561644,0.6511483550589696,0.839622641509434,0.7549478229578985,0.7549478229578985,0.7007743785261729,0.7207814857132402,0.4560873378682897,0.4227048327785765,0.142691432010178,0.4519997382294056,0.8981164383561644,0.5257383966244725,623,119,562,1049,0.3488516449410304,0.160377358490566,0.4292342719592878,0.728515389650101,0.6668233516846824,MASTER_ONLY_CV,,2353
0.7449999999999999,0.8478143022783056,0.9040847361024198,0.7097322566935826,0.7454917422504648,0.8993115318416524,0.6486654252017381,0.8423180592991913,0.7536963577353047,0.7536963577353047,0.7001797877657383,0.7199443008569211,0.4563075575905305,0.4220949654878537,0.142691432010178,0.4519997382294056,0.8993115318416524,0.5247691015952981,625,117,566,1045,0.3513345747982619,0.1576819407008086,0.4292342719592878,0.7283741842208399,0.6664270163297333,MASTER_ONLY_CV,,2353
0.7499999999999999,0.8478143022783056,0.9040847361024198,0.7071823204419889,0.7439930330728265,0.8994800693240901,0.6443202979515829,0.8436657681940701,0.7508137432188066,0.7508137432188066,0.6979210395640658,0.7174551489886173,0.4535703410527743,0.4184719661015612,0.142691432010178,0.4519997382294056,0.8994800693240901,0.5221017514595496,626,116,573,1038,0.3556797020484171,0.1563342318059299,0.4292342719592878,0.7269414152751035,0.6645892498688802,MASTER_ONLY_CV,,2353
0.7549999999999999,0.8478143022783056,0.9040847361024198,0.7033574160645983,0.7415632251987264,0.8993875765529309,0.638112973308504,0.8450134770889488,0.7465504720406682,0.7465504720406682,0.6944842524137766,0.7137131282555823,0.4491534475797911,0.4128888946084529,0.142691432010178,0.4519997382294056,0.8993875765529309,0.5181818181818182,627,115,583,1028,0.3618870266914959,0.1549865229110512,0.4292342719592878,0.7246963058874073,0.6617732928304584,MASTER_ONLY_CV,,2353
0.7599999999999999,0.8478143022783056,0.9040847361024198,0.6969825754356141,0.7383616845775589,0.9008928571428572,0.6263190564866542,0.8504043126684636,0.7389234712559501,0.7389234712559501,0.6889554065140511,0.7074094006749989,0.4435326700680252,0.4045264379998174,0.142691432010178,0.4519997382294056,0.9008928571428572,0.5117599351175993,631,111,602,1009,0.3736809435133457,0.1495956873315364,0.4292342719592878,0.7214492472513846,0.6574104147956354,MASTER_ONLY_CV,,2353
0.7649999999999999,0.8478143022783056,0.9040847361024198,0.6931576710582236,0.7362953649187443,0.9015356820234868,0.6194909993792675,0.8530997304582211,0.7343635025754232,0.7343635025754232,0.6855922140643715,0.7036042198935699,0.4399487515876982,0.3994181072577508,0.142691432010178,0.4519997382294056,0.9015356820234868,0.5080256821829856,633,109,613,998,0.3805090006207324,0.1469002695417789,0.4292342719592878,0.7194297282815725,0.6547516797342471,MASTER_ONLY_CV,,2353
0.7699999999999999,0.8478143022783056,0.9040847361024198,0.6889077773055674,0.7335551908124902,0.9013698630136986,0.6126629422718808,0.8544474393530997,0.729490022172949,0.729490022172949,0.6817450110864745,0.6993779964813519,0.4351328411307336,0.3933362638105785,0.142691432010178,0.4519997382294056,0.9013698630136986,0.5039745627980922,634,108,624,987,0.3873370577281191,0.1455525606469002,0.4292342719592878,0.7169396037935009,0.6516391738088109,MASTER_ONLY_CV,,2353
0.7749999999999999,0.8478143022783056,0.9040847361024198,0.6867828304292393,0.7327303360822914,0.9023941068139965,0.6083178150217257,0.8571428571428571,0.7267334074898035,0.7267334074898035,0.6799421143969675,0.6972228766994215,0.4338399037890542,0.3908703668383241,0.142691432010178,0.4519997382294056,0.9023941068139965,0.5019731649565904,636,106,631,980,0.3916821849782743,0.1428571428571428,0.4292342719592878,0.7160105834426335,0.6502934118034859,MASTER_ONLY_CV,,2353
0.7799999999999999,0.8478143022783056,0.9040847361024198,0.6846578835529111,0.7329959459979487,0.9056956115779644,0.6021104903786468,0.8638814016172507,0.7233407904548844,0.7233407904548844,0.6783699999705253,0.6949784219556115,0.4347997994636708,0.3895329484360752,0.142691432010178,0.4519997382294056,0.9056956115779644,0.5,641,101,641,970,0.3978895096213532,0.1361185983827493,0.4292342719592878,0.7157158374613394,0.6493715970611126,MASTER_ONLY_CV,,2353
0.7849999999999999,0.8478143022783056,0.9040847361024198,0.6829579260518487,0.7324814574999038,0.9068673565380996,0.5983860955927995,0.866576819407008,0.7210172026925954,0.7210172026925954,0.6769456092203134,0.6932219435711052,0.4341167577712096,0.3877303155703511,0.142691432010178,0.4519997382294056,0.9068673565380996,0.4984496124031007,643,99,647,964,0.4016139044072005,0.1334231805929919,0.4292342719592878,0.7150640465906936,0.6483597731926024,MASTER_ONLY_CV,,2353
0.7899999999999999,0.8478143022783056,0.9040847361024198,0.6799830004249894,0.7303088938748261,0.90625,0.5940409683426443,0.866576819407008,0.7176602924634421,0.7176602924634421,0.6741808083209805,0.6902384673604192,0.4303169775314092,0.3832936712218053,0.142691432010178,0.4519997382294056,0.90625,0.4957594448727833,643,99,654,957,0.4059590316573557,0.1334231805929919,0.4292342719592878,0.7131872016256247,0.6460988151972035,MASTER_ONLY_CV,,2353
0.7949999999999999,0.8478143022783056,0.9040847361024198,0.6757331066723332,0.7275687197685723,0.9061302681992336,0.5872129112352577,0.8679245283018868,0.7126177024482109,0.7126177024482109,0.670302025285539,0.6859298720574735,0.425669185295614,0.3773636206942593,0.142691432010178,0.4519997382294056,0.9061302681992336,0.4919786096256685,644,98,665,946,0.4127870887647424,0.1320754716981132,0.4292342719592878,0.7107216540070057,0.6430151959073696,MASTER_ONLY_CV,,2353
0.7999999999999999,0.8478143022783056,0.9040847361024198,0.6736081597960051,0.7267438650383733,0.9072463768115944,0.5828677839851024,0.8706199460916442,0.7097505668934241,0.7097505668934241,0.6684675164564208,0.683713997897031,0.4245094707723399,0.3749787290559021,0.142691432010178,0.4519997382294056,0.9072463768115944,0.4901365705614567,646,96,672,939,0.4171322160148976,0.1293800539083558,0.4292342719592878,0.7098109235783212,0.6416913366447838,MASTER_ONLY_CV,,2353
0.8049999999999999,0.8478143022783056,0.9040847361024198,0.6668083297917552,0.7221414935391957,0.9065880039331368,0.5723153320918684,0.871967654986523,0.7016742770167428,0.7016742770167428,0.6621942126180923,0.6767748228868672,0.4167213011489846,0.3653907413714219,0.142691432010178,0.4519997382294056,0.9065880039331368,0.4842814371257485,647,95,689,922,0.4276846679081316,0.1280323450134771,0.4292342719592878,0.7057531911196862,0.6366893650605429,MASTER_ONLY_CV,,2353
0.8099999999999999,0.8478143022783056,0.9040847361024198,0.662558436039099,0.7194013194329416,0.9064676616915422,0.5654872749844817,0.8733153638814016,0.6964831804281345,0.6964831804281345,0.6582894371040193,0.6723949887184079,0.4121838548296229,0.3595935746903512,0.142691432010178,0.4519997382294056,0.9064676616915422,0.4807121661721068,648,94,700,911,0.4345127250155183,0.1266846361185983,0.4292342719592878,0.7033028271198714,0.6336239160822009,MASTER_ONLY_CV,,2353
0.815,0.8478143022783056,0.9040847361024198,0.6583085422864429,0.717024633541973,0.9071644803229062,0.5580384854127871,0.876010781671159,0.6910069177555727,0.6910069177555727,0.6544388200945164,0.66794399513381,0.4084730131905297,0.3542210558510928,0.142691432010178,0.4519997382294056,0.9071644803229062,0.4772393538913362,650,92,712,899,0.4419615145872129,0.1239892183288409,0.4292342719592878,0.7010734083664238,0.6307114995890089,MASTER_ONLY_CV,,2353
0.82,0.8478143022783056,0.9040847361024198,0.6557586060348491,0.7177068536560473,0.9124613800205972,0.5499689633767846,0.8854447439353099,0.686289697908598,0.686289697908598,0.6524668828526041,0.6649581817406868,0.4109492416690391,0.3532388787614307,0.142691432010178,0.4519997382294056,0.9124613800205972,0.4753979739507959,657,85,725,886,0.4500310366232154,0.11455525606469,0.4292342719592878,0.701005132734949,0.6298369704158383,MASTER_ONLY_CV,,2353
0.825,0.8478143022783056,0.9040847361024198,0.6510837229069273,0.7146563133176393,0.9123173277661796,0.54252017380509,0.8867924528301887,0.6804203970416505,0.6804203970416505,0.6481184811600391,0.6600480880028441,0.4060257024013902,0.3469591617281025,0.142691432010178,0.4519997382294056,0.9123173277661796,0.47168458781362,658,84,737,874,0.45747982619491,0.1132075471698113,0.4292342719592878,0.6983061020980249,0.626472575804988,MASTER_ONLY_CV,,2353
0.83,0.8478143022783056,0.9040847361024198,0.6438589035274118,0.7093800873710223,0.9107332624867164,0.531967721911856,0.8867924528301887,0.6716300940438872,0.6716300940438872,0.6412932271519343,0.6524971104197231,0.3971942338566505,0.3367492399815134,0.142691432010178,0.4519997382294056,0.9107332624867164,0.4660056657223796,658,84,754,857,0.468032278088144,0.1132075471698113,0.4292342719592878,0.6937994997355955,0.6210443810215159,MASTER_ONLY_CV,,2353
