feature,eda_rank,auc_equivalent,auc_directional_strength,p_value,mean_abs_shap,shap_rank,in_final_model_shap
AL_214,90,0.44797696061741,0.55202303938259,0.0042851300757852,0.0,313.0,True
AL_38,91,0.4481481481481481,0.5518518518518518,0.198925597304302,0.0058012826067398,222.0,True
AL_93,92,0.4482091405562454,0.5517908594437546,0.0005592198148335,0.0198039689333389,159.0,True
AL_331,93,0.4482125747513794,0.5517874252486206,0.0005524631977166,0.0800093238749917,68.0,True
AL_203,94,0.4483134615384615,0.5516865384615385,0.0046815675537739,0.0156630488292435,173.0,True
AL_35,95,0.4497685185185185,0.5502314814814815,0.1559698520515119,0.0,313.0,True
AL_234,96,0.4509615384615384,0.5490384615384616,0.0019695818687739,0.0056609362666614,224.0,True
AL_169,97,0.4519299962286844,0.5480700037713155,0.0024912518975801,0.0337773224274944,119.0,True
AL_97,98,0.4520096685915442,0.5479903314084558,0.0056653588415934,0.0708429617339706,73.0,True
AL_112,99,0.4521664679081429,0.547833532091857,0.0026165769783151,0.0677962514857284,76.0,True
AL_55,100,0.4522966333490916,0.5477033666509084,0.0034740069765471,0.0427829391212602,107.0,True
AL_61,101,0.4523557270210036,0.5476442729789964,0.0035146051462039,0.0548411049372195,89.0,True
AL_145,102,0.4524824429970747,0.5475175570029254,0.0027930353355777,0.0464211046829533,100.0,True
AL_45,103,0.4524929087593706,0.5475070912406295,0.001032343749696,0.0179053833592439,165.0,True
AL_148,104,0.4550326677470976,0.5449673322529024,0.0046666241628407,0.0800826424771221,67.0,True
AL_42,105,0.4559308941716755,0.5440691058283245,0.0018247635361169,0.0064960524773851,219.0,True
AL_5,106,0.5439633686895032,0.5439633686895032,0.2444634030054321,0.0198730437238942,158.0,True
AL_20,107,0.4561520228019661,0.5438479771980339,0.0142317526546511,0.087541964180195,59.0,True
AL_323,108,0.4564575280007929,0.543542471999207,0.003683852964152,0.091295145308867,57.0,True
AL_10,109,0.4564841881477544,0.5435158118522456,0.0030135479614871,0.2128687380413268,18.0,True
AL_12,110,0.4567831517406325,0.5432168482593676,0.0032194079332807,0.2493924078353013,14.0,True
AL_275,111,0.4569522891566265,0.5430477108433736,0.0185852153677462,0.0326741272758185,121.0,True
AL_318,112,0.4574800938315657,0.5425199061684343,0.0010620790736447,0.0114465495466631,192.0,True
AL_106,113,0.4577153981795758,0.5422846018204242,0.0078048747589113,0.0691570408638915,74.0,True
AL_243,114,0.4588846153846154,0.5411153846153847,0.0244670502224323,0.0096426380720433,203.0,True
AL_98,115,0.4591450770955647,0.5408549229044353,0.0061601519431391,0.0010596961542459,298.0,True
AL_163,116,0.4598844142739198,0.5401155857260802,0.0116052257591976,0.0575113266384739,84.0,True
AL_11,117,0.4603187211868421,0.5396812788131579,0.0068312876808758,0.1956648558422889,20.0,True
EK_1,118,0.5396130302537187,0.5396130302537187,0.0026421434614954,0.4123464934257744,4.0,True
AL_81,119,0.4605781865965834,0.5394218134034166,0.0086954135650977,0.0303308608062506,123.0,True
AL_165,120,0.4612910130569061,0.5387089869430939,0.0049071339712562,0.0108937640983833,196.0,True
AL_29,121,0.461304012345679,0.5386959876543209,0.2636547843280115,0.0,313.0,True
AL_206,122,0.4617538461538462,0.5382461538461538,0.0156154712845943,0.0177477347005791,167.0,True
AL_291,123,0.4619807692307692,0.5380192307692307,0.0374985401910878,0.0203007958046083,156.0,True
AL_123,124,0.4622593238133097,0.5377406761866903,0.006461255424872,0.007781603389968,210.0,True
AL_31,125,0.4623842592592592,0.5376157407407407,0.2925016490950193,0.0,313.0,True
AL_70,126,0.4629166103869791,0.5370833896130209,0.0231018157850204,0.0640608187134689,78.0,True
AL_33,127,0.4630401234567901,0.5369598765432099,0.3003882733642317,0.0029975606892395,260.0,True
AL_250,128,0.4630503012352327,0.5369496987647673,0.0216238289805566,0.0008449360789924,300.0,True
AL_130,129,0.4633846028396987,0.5366153971603014,0.0212393996790993,0.0445530024739631,103.0,True
AL_222,130,0.4633923076923077,0.5366076923076923,0.0207960902149205,0.0258445533361276,133.0,True
AL_202,131,0.4635884615384615,0.5364115384615384,0.0224013435465606,0.0250816639896348,135.0,True
AL_58,132,0.4637819105828324,0.5362180894171675,0.0265046601531012,0.1452425652362421,38.0,True
AL_290,133,0.4642230769230769,0.5357769230769232,0.0239521611805735,0.003102935680178,259.0,True
AL_37,134,0.4653163580246913,0.5346836419753087,0.3262213095279203,0.0,313.0,True
AL_315,135,0.4653682228169293,0.5346317771830706,0.020902982495642,0.0816966588828677,65.0,True
AL_36,136,0.4654320987654321,0.5345679012345679,0.3919463889427933,0.0016306392981171,288.0,True
AL_96,137,0.4654682395206693,0.5345317604793307,0.0225905716793339,0.009878484405444,201.0,True
AL_85,138,0.4655481078735126,0.5344518921264874,0.0470269133515762,0.025022212334169,136.0,True
AL_305,139,0.4661710774110417,0.5338289225889583,0.0091796954377426,0.0148505664269574,177.0,True
AL_282,140,0.4663326923076923,0.5336673076923077,0.0327353091466795,0.0011480972107573,295.0,True
AL_279,141,0.4666653846153846,0.5333346153846155,0.0681590588099332,0.0076389436584158,211.0,True
AL_297,142,0.4667566987147719,0.5332433012852281,0.0103633780094021,0.0190558863551925,161.0,True
AL_32,143,0.4668595679012345,0.5331404320987654,0.4118163074871288,0.0006509784077891,307.0,True
AL_25,144,0.4675166506703894,0.5324833493296106,0.0693728123020943,0.0850230517519334,62.0,True
AL_286,145,0.4677371375358907,0.5322628624641093,0.0459255135899279,0.0014006085527502,291.0,True
AL_241,146,0.4677807692307692,0.5322192307692308,0.0431230522220111,0.0238369962500577,142.0,True
AL_144,147,0.4679213935520696,0.5320786064479304,0.0194447902281611,0.0122972885487251,189.0,True
AL_189,148,0.4680442307692308,0.5319557692307693,0.044872176126057,0.0017232990640372,286.0,True
AL_75,149,0.4684926882783397,0.5315073117216603,0.0360330735950067,0.0011559514872967,294.0,True
AL_2,150,0.4689909001333101,0.5310090998666899,0.411805724437554,0.0110049772481209,195.0,True
AL_289,151,0.4694098829940419,0.5305901170059582,0.0603032210112663,0.0029630261944411,263.0,True
AL_239,152,0.4694153846153846,0.5305846153846154,0.0942338816660456,0.0174975508242215,168.0,True
AL_311,153,0.4695096970297684,0.5304903029702316,0.042000608905535,0.0959158506988471,56.0,True
AL_247,154,0.4696038461538461,0.5303961538461539,0.0962799809488083,0.0522452953979618,94.0,True
AL_254,155,0.4697942307692307,0.5302057692307692,0.0569724774872386,0.0015441921891397,290.0,True
AL_171,156,0.4699456726701934,0.5300543273298066,0.0290150614983671,0.0056209371546822,225.0,True
AL_39,157,0.4702674410751671,0.5297325589248328,0.0354926882817837,0.0137232983094027,183.0,True
AL_65,157,0.4702674410751671,0.5297325589248328,0.0001933712649799,0.0,313.0,True
AL_295,159,0.4703241153731787,0.5296758846268212,0.0222504558514686,0.0045243783848399,234.0,True
AL_225,160,0.4707,0.5293,0.0644650854257224,0.0036465352764108,245.0,True
AL_271,161,0.4711923076923077,0.5288076923076923,0.1149700264814623,0.0240478143580909,140.0,True
AL_196,162,0.4715826923076923,0.5284173076923078,0.0744550966625725,0.0141576866906959,179.0,True
AL_86,163,0.4718863397991537,0.5281136602008463,0.0587767823338275,0.0019795442589339,278.0,True
AL_51,164,0.4723578797190518,0.5276421202809483,0.0511524271878857,0.0062805991311412,220.0,True
AL_180,165,0.4727007715907816,0.5272992284092184,0.0471834805073804,0.0031809236145532,257.0,True
AL_4,166,0.5268069321277459,0.5268069321277459,0.4780780101051333,0.0096571446433159,202.0,True
AL_34,167,0.5263888888888889,0.5263888888888889,0.5135571606548807,0.002159822658696,276.0,True
AL_135,168,0.473970787593391,0.526029212406609,0.0570919162897753,0.004327560605686,237.0,True
AL_199,169,0.4755846153846154,0.5244153846153846,0.1815831180975144,0.0280634828073244,128.0,True
AL_162,170,0.4756984578377111,0.5243015421622889,0.0777352460670488,0.0027734428541271,265.0,True
EK7_minus_EK9,171,0.4757759336671911,0.5242240663328088,0.0795539687766171,0.2086342022712401,19.0,True
AL_235,172,0.4759730769230769,0.524026923076923,0.1886309287049594,0.0224390856890702,145.0,True
AL_261,173,0.4766384615384615,0.5233615384615384,0.1410763716633198,0.0008018609210586,303.0,True
AL_84,174,0.4768321498752245,0.5231678501247754,0.1235202606497799,0.0071589306233001,214.0,True
AL_60,175,0.4769787938137367,0.5230212061862632,0.1039814159945723,0.0092719398319357,204.0,True
AL_95,176,0.5228996130152263,0.5228996130152263,0.0002114507750658,0.0020852834426393,277.0,True
AL_205,177,0.4771423076923077,0.5228576923076923,0.1548910979759125,0.0029038483478884,264.0,True
min_AF_nz,178,0.5226916361626253,0.5226916361626253,0.1152186694651869,0.2979625586979496,10.0,True
AL_326,179,0.4773862622658341,0.522613737734166,0.0813157628073629,0.0099208575216612,200.0,True
AL_310,180,0.4774606006541778,0.5225393993458222,0.0834101078920823,0.0100908188271354,199.0,True
AL_277,181,0.477875,0.522125,0.1654916053532793,0.0155634194862956,174.0,True
AL_99,182,0.4780366734958057,0.5219633265041943,0.1105770518557487,0.0023070343205721,271.0,True
AL_168,183,0.4781722370017022,0.5218277629982978,0.1138700737906116,0.0025013081045595,269.0,True
AL_3,184,0.4788152785022894,0.5211847214977106,0.5751695905710783,0.0221107363557249,146.0,True
AL_129,185,0.4789438277833838,0.5210561722166163,0.1340320699692272,0.0035573653369868,247.0,True
AL_120,186,0.4795431611778736,0.5204568388221265,0.1369816327624351,0.0218327058330493,147.0,True
AL_213,187,0.4797442307692308,0.5202557692307692,0.2009601140933873,0.0034309508204625,250.0,True
AL_330,188,0.4806158522483232,0.5193841477516767,0.1357273263269344,0.0212299365681317,152.0,True
AL_72,189,0.4811765550077665,0.5188234449922334,0.1825606019719271,0.0141223519404317,180.0,True
AL_270,190,0.5186807692307692,0.5186807692307692,0.2392479770282657,0.0116342882714266,190.0,True
AL_218,191,0.5186538461538461,0.5186538461538461,0.2390138752050171,0.0289613245316557,127.0,True
AL_281,192,0.4814076923076923,0.5185923076923077,0.2425826499071155,0.0027325264677746,266.0,True
AL_192,193,0.4814346153846154,0.5185653846153846,0.2456528570798869,0.003890734247032,243.0,True
AL_102,194,0.4815552090022322,0.5184447909977679,0.1793079737497678,0.0018706269391891,282.0,True
AL_274,195,0.4816923076923077,0.5183076923076924,0.2454412252687953,0.0038327007754578,244.0,True
AL_74,196,0.4817885966097116,0.5182114033902884,0.0056469281573624,0.0,313.0,True
AL_69,197,0.4818413588167758,0.5181586411832242,0.2013076801195409,0.0055460359749922,226.0,True
AL_268,198,0.5179423076923076,0.5179423076923076,0.258756486731526,0.0016689160113987,287.0,True
AL_147,199,0.4821912362780173,0.5178087637219827,0.1959007182840095,0.0115172156255094,191.0,True
AL_259,200,0.4823557692307692,0.5176442307692308,0.2638543450874216,0.0007079966374853,305.0,True
AL_322,201,0.4823917137476459,0.5176082862523541,0.1750020197691724,0.0066045402453506,217.0,True
AL_18,202,0.482764250058045,0.517235749941955,0.335003642778037,0.1217759485940379,49.0,True
AL_177,203,0.4835896808651602,0.5164103191348398,0.2331886411532066,0.0582050385749412,83.0,True
AL_198,204,0.4836807692307692,0.5163192307692308,0.3109014678991904,0.0048113379431437,231.0,True
AL_232,205,0.4836923076923077,0.5163076923076924,0.3041449276799981,0.0031158948986125,258.0,True
AL_63,206,0.483740798271088,0.516259201728912,0.2496569876686599,0.0146585328391382,178.0,True
AL_156,207,0.4838414416618251,0.5161585583381749,0.2407461735023505,0.0040658643600228,240.0,True
AL_265,208,0.484276923076923,0.515723076923077,0.3196523879379527,0.0023013443676585,273.0,True
AL_257,209,0.4850865384615385,0.5149134615384615,0.3482229090856491,0.0040001810090549,241.0,True
AL_6,210,0.4852489422129484,0.5147510577870515,0.6965255114159835,0.0029744829927583,261.0,True
AL_302,211,0.4853735091023227,0.5146264908976773,0.3293283800649402,0.0344687204519474,117.0,True
AL_217,212,0.4854904380887527,0.5145095619112473,0.4287072627336036,0.0008386627843851,301.0,True
AL_258,213,0.4855942307692307,0.5144057692307693,0.3626699302064212,0.0011276394552724,297.0,True
AL_278,214,0.4858230769230769,0.5141769230769231,0.3697200536025441,0.0034288750369888,251.0,True
AL_48,215,0.4858797781454717,0.5141202218545282,0.319948349816379,0.0267840601317661,131.0,True
AL_238,216,0.5139326923076923,0.5139326923076923,0.3805175914652261,0.0231918059995532,144.0,True
AL_319,217,0.4875309743284766,0.5124690256715234,0.4056493737326171,0.1707320585893569,28.0,True
AL_328,218,0.511864406779661,0.511864406779661,0.1006021807037319,0.0,313.0,True
AL_54,219,0.5118482812183427,0.5118482812183427,0.401991389688903,0.0691146401581458,75.0,True
AL_114,220,0.4883802709231569,0.5116197290768432,0.3988445714683846,0.0024254069802828,270.0,True
AL_209,221,0.511225,0.511225,0.4825414538559481,0.0111192879325881,194.0,True
AL_57,222,0.4892607803741474,0.5107392196258527,0.4513721482535234,0.0042579794077356,238.0,True
AL_62,223,0.4893420341730263,0.5106579658269736,0.0187637763871596,0.0,313.0,True
AL_21,224,0.4894351859930779,0.5105648140069221,0.5548165133591292,0.0656263422671272,77.0,True
AL_89,225,0.4895101206765603,0.5104898793234397,0.2846596676493468,0.0,313.0,True
AL_193,226,0.4895538461538462,0.5104461538461538,0.5085744095373296,0.0012430014494144,292.0,True
AL_245,227,0.4896326923076923,0.5103673076923076,0.5147566709977802,0.0016072577794438,289.0,True
AL_56,228,0.489686043763085,0.510313956236915,0.2108711105691586,0.0002993047724888,312.0,True
AL_183,229,0.4900854700854701,0.5099145299145299,0.5394313479938642,0.0085663645302809,205.0,True
AL_49,230,0.490327632200986,0.509672367799014,0.5535250466401258,0.0527150418180138,92.0,True
AL_246,231,0.4903903846153846,0.5096096153846155,0.5438108400106029,0.0073106746133257,213.0,True
AL_237,232,0.5092730769230769,0.5092730769230769,0.5621373295063565,0.0073869001924878,212.0,True
AL_150,233,0.4908581271850696,0.5091418728149304,0.507746853474887,0.005791140609849,223.0,True
AL_317,234,0.5090428519509697,0.5090428519509697,0.4876582202466576,0.0243428174555236,139.0,True
AL_67,235,0.5088176200445735,0.5088176200445735,0.5891125816936182,0.0434200413628589,106.0,True
AL_126,236,0.491334128367428,0.5086658716325719,0.5285272919135356,0.0084587867267858,206.0,True
AL_66,237,0.4915559363814412,0.5084440636185588,0.5562443643991448,0.0032274263104571,256.0,True
AL_314,238,0.491628671490402,0.5083713285095979,0.5192705051635216,0.0049142114894152,230.0,True
AL_313,239,0.491699705950375,0.5083002940496251,0.5240957854886068,0.0174812082288855,169.0,True
AL_242,240,0.4917692307692308,0.5082307692307693,0.6037970823867503,0.0018866073712705,280.0,True
AL_253,241,0.491791760627377,0.5082082393726229,0.6113767334948026,0.0018532760786721,283.0,True
AL_68,242,0.5081718106301074,0.5081718106301074,0.4567910944447561,0.0542668406837457,90.0,True
AL_174,243,0.4925980287231548,0.5074019712768452,0.5917078008359368,0.0033769886222556,252.0,True
AL_141,244,0.492907888165204,0.507092111834796,0.6067493065088096,0.0035641819627934,246.0,True
AL_228,245,0.4931403846153846,0.5068596153846154,0.6667110286481898,0.0019648245851873,279.0,True
AL_111,246,0.4931657646087515,0.5068342353912485,0.6186539877392906,0.0151907718320087,176.0,True
