path,extension,bytes,classification
data/processed/cftr_unique.csv,.csv,95961,PROTECTED_DO_NOT_TOUCH
data/processed/cftr_unique_engineered.csv,.csv,118296,PROTECTED_DO_NOT_TOUCH
data/processed/codex_repository_pdf_extracted.txt,.txt,17571,PROTECTED_DO_NOT_TOUCH
data/processed/engineered_feature_columns.txt,.txt,924,PROTECTED_DO_NOT_TOUCH
data/processed/first_section_overlap_summary.csv,.csv,483,PROTECTED_DO_NOT_TOUCH
data/processed/kanser_engineered.csv,.csv,897755,PROTECTED_DO_NOT_TOUCH
data/processed/kanser_prepared.csv,.csv,661299,PROTECTED_DO_NOT_TOUCH
data/processed/kanser_unique.csv,.csv,307386,PROTECTED_DO_NOT_TOUCH
data/processed/kanser_unique_engineered.csv,.csv,395794,PROTECTED_DO_NOT_TOUCH
data/processed/lgbm_best_params.json,.json,297,PROTECTED_DO_NOT_TOUCH
data/processed/lgbm_optuna_trials.csv,.csv,425,PROTECTED_DO_NOT_TOUCH
data/processed/master_contamination_aware_fold_summary.csv,.csv,375,PROTECTED_DO_NOT_TOUCH
data/processed/master_contamination_aware_folds.csv,.csv,78088,PROTECTED_DO_NOT_TOUCH
data/processed/master_engineered.csv,.csv,6936387,PROTECTED_DO_NOT_TOUCH
data/processed/master_prepared.csv,.csv,5169930,PROTECTED_DO_NOT_TOUCH
data/processed/model_performance_improvement_plan_extracted.txt,.txt,16348,PROTECTED_DO_NOT_TOUCH
data/processed/model_training_cv_results.csv,.csv,14625,PROTECTED_DO_NOT_TOUCH
data/processed/model_training_cv_summary.csv,.csv,2287,PROTECTED_DO_NOT_TOUCH
data/processed/pah_engineered.csv,.csv,1048535,PROTECTED_DO_NOT_TOUCH
data/processed/pah_prepared.csv,.csv,815650,PROTECTED_DO_NOT_TOUCH
data/processed/pah_unique.csv,.csv,241962,PROTECTED_DO_NOT_TOUCH
data/processed/pah_unique_engineered.csv,.csv,315372,PROTECTED_DO_NOT_TOUCH
data/processed/panel_unique_lightgbm_results.csv,.csv,2413,PROTECTED_DO_NOT_TOUCH
data/processed/pdr_template_extracted.txt,.txt,5759,PROTECTED_DO_NOT_TOUCH
data/processed/phase9_pdf_extracted.txt,.txt,5705,PROTECTED_DO_NOT_TOUCH
data/processed/prompt_pdf_extracted.txt,.txt,24448,PROTECTED_DO_NOT_TOUCH
data/processed/sartname_pdf_extracted.txt,.txt,40848,PROTECTED_DO_NOT_TOUCH
models/feature_engineer.joblib,.joblib,40787,ACTIVE_CORE
models/lightgbm_final.joblib,.joblib,9797876,ACTIVE_CORE
models/model_columns.txt,.txt,3495,ACTIVE_CORE
notebooks/01_data_understanding.ipynb,.ipynb,2593,ARCHIVE_PREVIOUS_RESULTS
notebooks/02_feature_engineering_and_validation.ipynb,.ipynb,2568,ARCHIVE_PREVIOUS_RESULTS
notebooks/03_model_training_and_evaluation.ipynb,.ipynb,2836,ARCHIVE_PREVIOUS_RESULTS
notebooks/04_explainability_and_report_outputs.ipynb,.ipynb,2447,ARCHIVE_PREVIOUS_RESULTS
outputs/audit/data_audit_report.md,.md,1632,ARCHIVE_PREVIOUS_RESULTS
outputs/audit/error_analysis_report.md,.md,1022,ARCHIVE_PREVIOUS_RESULTS
outputs/audit/explainability_audit_report.md,.md,701,ARCHIVE_PREVIOUS_RESULTS
outputs/audit/hyperparameter_audit_report.md,.md,331,ARCHIVE_PREVIOUS_RESULTS
outputs/audit/leakage_audit_report.md,.md,1575,ARCHIVE_PREVIOUS_RESULTS
outputs/audit/metric_audit_report.md,.md,2660,ARCHIVE_PREVIOUS_RESULTS
outputs/audit/prioritized_fix_plan.md,.md,1424,ARCHIVE_PREVIOUS_RESULTS
outputs/audit/subgroup_audit_report.md,.md,2598,ARCHIVE_PREVIOUS_RESULTS
outputs/audit/threshold_audit_report.md,.md,2357,ARCHIVE_PREVIOUS_RESULTS
outputs/figures/feature_importance.png,.png,60775,ARCHIVE_PREVIOUS_RESULTS
outputs/figures/master_confusion_matrix.png,.png,21142,ARCHIVE_PREVIOUS_RESULTS
outputs/figures/subgroup_performance.png,.png,49430,ARCHIVE_PREVIOUS_RESULTS
outputs/figures/threshold_optimization.png,.png,75947,ARCHIVE_PREVIOUS_RESULTS
outputs/final/error_analysis.csv,.csv,348087,ARCHIVE_PREVIOUS_RESULTS
outputs/final/feature_importance.csv,.csv,14399,ARCHIVE_PREVIOUS_RESULTS
outputs/final/final_metric_verification.csv,.csv,1825,ARCHIVE_PREVIOUS_RESULTS
outputs/final/final_predictions.csv,.csv,283539,ARCHIVE_PREVIOUS_RESULTS
outputs/final/inference_dry_run.csv,.csv,283539,ARCHIVE_PREVIOUS_RESULTS
outputs/final/model_selection_report.md,.md,2831,ARCHIVE_PREVIOUS_RESULTS
outputs/final/pdr_evidence_summary.md,.md,3446,PROTECTED_DO_NOT_TOUCH
outputs/final/subgroup_metrics.csv,.csv,1825,ARCHIVE_PREVIOUS_RESULTS
outputs/final/submission.csv,.csv,41062,ARCHIVE_PREVIOUS_RESULTS
outputs/final/TEKNOFEST_MODEL_READINESS_REPORT.md,.md,4076,ARCHIVE_PREVIOUS_RESULTS
outputs/final/threshold_sweep.csv,.csv,84681,ARCHIVE_PREVIOUS_RESULTS
outputs/final_submission_template.csv,.csv,27,PROTECTED_DO_NOT_TOUCH
outputs/pdr_assets/error_analysis.csv,.csv,348087,PROTECTED_DO_NOT_TOUCH
outputs/pdr_assets/feature_importance.csv,.csv,14399,PROTECTED_DO_NOT_TOUCH
outputs/pdr_assets/feature_importance.png,.png,60775,PROTECTED_DO_NOT_TOUCH
outputs/pdr_assets/final_metric_verification.csv,.csv,1825,PROTECTED_DO_NOT_TOUCH
outputs/pdr_assets/master_confusion_matrix.png,.png,21142,PROTECTED_DO_NOT_TOUCH
outputs/pdr_assets/subgroup_metrics.csv,.csv,1825,PROTECTED_DO_NOT_TOUCH
outputs/pdr_assets/subgroup_performance.png,.png,49430,PROTECTED_DO_NOT_TOUCH
outputs/pdr_assets/threshold_optimization.png,.png,75947,PROTECTED_DO_NOT_TOUCH
outputs/pdr_assets/threshold_sweep.csv,.csv,84681,PROTECTED_DO_NOT_TOUCH
README.md,.md,7893,PROTECTED_DO_NOT_TOUCH
README_FINAL.md,.md,1251,ACTIVE_CORE
README_FINAL_INFERENCE.md,.md,1025,ACTIVE_CORE
reports/calibration_decision_review.md,.md,2787,ARCHIVE_PREVIOUS_RESULTS
reports/current_results_verification.md,.md,995,ARCHIVE_PREVIOUS_RESULTS
reports/eda/EDA_MODEL_BRIDGE.md,.md,8368,ARCHIVE_PREVIOUS_RESULTS
reports/eda/EDA_REPORT.md,.md,43480,ARCHIVE_PREVIOUS_RESULTS
reports/eda/figures/al_pca_cumulative_variance.png,.png,58350,ARCHIVE_PREVIOUS_RESULTS
reports/eda/figures/eda_model_feature_alignment.png,.png,50241,ARCHIVE_PREVIOUS_RESULTS
reports/eda/figures/ek_spearman_correlation.png,.png,50477,ARCHIVE_PREVIOUS_RESULTS
reports/eda/figures/missingness_top80.png,.png,128762,ARCHIVE_PREVIOUS_RESULTS
reports/eda/figures/top10_numeric_boxplots.png,.png,110355,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/eda_model_feature_alignment.csv,.csv,30605,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/eda_panel_model_alignment.csv,.csv,409,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/eda_to_model_decision_bridge.csv,.csv,1639,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase1_constant_near_constant.csv,.csv,1721,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase1_missingness_bands.csv,.csv,65,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase1_missingness_profile.csv,.csv,13688,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase1_overlaps.csv,.csv,233,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase1_schema_class_balance.csv,.csv,298,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase2_aa_frequency.csv,.csv,619,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase2_aa_nonstandard_codes.csv,.csv,127,ARCHIVE_PREVIOUS_RESULTS
