model_name,evaluation_split,threshold_source,threshold_strategy,threshold,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,f1_macro,f1_weighted,precision,recall,specificity,mcc,tn,fp,fn,tp,feature,error_group,feature_mean,feature_median,n_group
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,cat1_AFR,TN,0.2,0.0,60
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,cat1_AFR,TP,0.09523809523809523,0.0,42
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,cat1_NFE,FN,0.3333333333333333,0.0,3
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,cat1_NFE,FP,0.32432432432432434,0.0,37
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,cat1_NFE,TN,0.21666666666666667,0.0,60
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,cat1_NFE,TP,0.19047619047619047,0.0,42
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,aa_class_changed,FN,0.6666666666666666,1.0,3
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,aa_class_changed,FP,0.5135135135135135,1.0,37
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,aa_class_changed,TN,0.5833333333333334,1.0,60
lightgbm,KANSER_unique,current_split,selected_threshold,0.631,0.7183098591549296,0.7759450171821306,0.9033218785796105,0.769114960607031,0.6774193548387096,0.7137096774193548,0.7269990913221263,0.5316455696202531,0.9333333333333333,0.6185567010309279,0.5168456383297233,60,37,3,42,aa_class_changed,TP,0.7380952380952381,1.0,42
