model,fold,threshold_name,threshold,auc_roc,auc_pr,f1_macro,f1_weighted,mcc,benign_precision,benign_recall,benign_f1,pathogenic_precision,pathogenic_recall,pathogenic_f1
extra_trees,1,youden_j,0.6932625818669741,0.8193239795918368,0.8919674329799923,0.7296309810503783,0.7536517712377232,0.4872842138791052,0.5673076923076923,0.8027210884353742,0.6647887323943662,0.888030888030888,0.71875,0.7944732297063903
acmg_rule,2,default_0.5,0.5,0.6979867209252517,0.8098105887968903,0.5547522956161137,0.5710135374275652,0.20719730737190256,0.3898916967509025,0.7448275862068966,0.5118483412322274,0.8052631578947368,0.4751552795031056,0.59765625
acmg_rule,2,f1_macro_opt,0.0024726231566347743,0.6979867209252517,0.8098105887968903,0.6472809667673716,0.7031026608098231,0.2971222178723006,0.5354330708661418,0.4689655172413793,0.5,0.7735294117647059,0.8167701863354038,0.7945619335347432
acmg_rule,2,youden_j,0.11920292202211755,0.6979867209252517,0.8098105887968903,0.6108333333333333,0.6370485367594575,0.27583061909577944,0.4351464435146444,0.7172413793103448,0.5416666666666666,0.8201754385964912,0.5807453416149069,0.68
lr_ek_only,2,default_0.5,0.5,0.697504819019062,0.8156483580855186,0.6397002094125428,0.688241531749023,0.2802649846601907,0.4935897435897436,0.5310344827586206,0.5116279069767442,0.7813504823151125,0.7546583850931677,0.7677725118483413
lr_ek_only,2,f1_macro_opt,0.512116574729486,0.697504819019062,0.8156483580855186,0.6500562008242787,0.6957822504879965,0.30195550723356207,0.5031055900621118,0.5586206896551724,0.5294117647058824,0.7908496732026143,0.7515527950310559,0.7707006369426752
lr_ek_only,2,youden_j,0.512116574729486,0.697504819019062,0.8156483580855186,0.6500562008242787,0.6957822504879965,0.30195550723356207,0.5031055900621118,0.5586206896551724,0.5294117647058824,0.7908496732026143,0.7515527950310559,0.7707006369426752
lightgbm,2,default_0.5,0.5,0.8603876633112016,0.91993637224088,0.7891392449671821,0.8218257607721722,0.580235868832525,0.7404580152671756,0.6689655172413793,0.7028985507246377,0.8571428571428571,0.8944099378881988,0.8753799392097265
lightgbm,2,f1_macro_opt,0.5017241848158928,0.8603876633112016,0.91993637224088,0.7921467781019731,0.8241983893819123,0.5859824666786501,0.7424242424242424,0.6758620689655173,0.7075812274368231,0.8597014925373134,0.8944099378881988,0.8767123287671232
lightgbm,2,youden_j,0.6086630998844708,0.8603876633112016,0.91993637224088,0.7718241042345277,0.7990465163319825,0.5513124998304,0.64,0.7724137931034483,0.7,0.886986301369863,0.8043478260869565,0.8436482084690554
