feature,mean_abs_shap
AL_114,0.0024254069802828733
AL_99,0.002307034320572137
AL_30,0.0023062984739677596
AL_265,0.002301344367658573
AL_92,0.002284495532740723
geno_missing,0.002222008707869603
AL_34,0.002159822658696013
AL_95,0.002085283442639389
AL_86,0.0019795442589339335
AL_228,0.0019648245851873556
AL_242,0.0018866073712705174
AL_78,0.0018714046630712636
AL_102,0.0018706269391891024
AL_253,0.001853276078672156
AL_294,0.0017709485902353377
AL_132,0.0017397777838479144
AL_189,0.0017232990640372707
AL_268,0.0016689160113987395
AL_36,0.0016306392981171672
AL_245,0.001607257779443875
AL_254,0.0015441921891397306
AL_286,0.0014006085527502106
AL_193,0.0012430014494144118
AL_249,0.001196935603485826
AL_75,0.0011559514872967677
AL_282,0.0011480972107573075
AL_221,0.0011477639519489912
AL_258,0.0011276394552724698
AL_98,0.0010596961542459248
AL_229,0.0008612249463563253
AL_250,0.0008449360789924846
AL_217,0.0008386627843851594
AL_293,0.0008271208133095586
AL_261,0.0008018609210586114
geno_consistent,0.0007362915382452928
AL_259,0.0007079966374853452
AL_28,0.0006628940558670854
AL_32,0.0006509784077891255
aa_to_special,0.0006048639984235025
AL_210,0.000590739838941226
AL_285,0.0005752494292369468
cat2_AllofUs_EUR,0.0005384174626106904
AL_56,0.00029930477248885686
AL_158,0.0
AL_152,0.0
cat6_segdup,0.0
AL_182,0.0
cat6_lcr,0.0
cat6_has_filter,0.0
cat2_AllofUs_OTH,0.0
cat2_AllofUs_MID,0.0
cat2_missing,0.0
cat2_AllofUs_SAS,0.0
AL_191,0.0
aa_involves_P,0.0
AL_244,0.0
AL_149,0.0
AL_155,0.0
AL_231,0.0
AL_236,0.0
AL_240,0.0
AL_179,0.0
AL_176,0.0
AL_170,0.0
AL_173,0.0
AL_208,0.0
AL_204,0.0
AL_212,0.0
AL_167,0.0
AL_227,0.0
AL_214,0.0
AL_216,0.0
AL_220,0.0
AL_233,0.0
AL_195,0.0
AL_197,0.0
AL_200,0.0
AL_140,0.0
AL_137,0.0
AL_134,0.0
AL_256,0.0
AL_252,0.0
AL_248,0.0
AL_161,0.0
AL_164,0.0
AL_303,0.0
AL_299,0.0
AL_131,0.0
AL_307,0.0
AL_101,0.0
AL_309,0.0
AL_104,0.0
AL_312,0.0
AL_280,0.0
AL_276,0.0
AL_272,0.0
AL_143,0.0
AL_263,0.0
AL_146,0.0
AL_267,0.0
AL_269,0.0
AL_122,0.0
AL_292,0.0
AL_284,0.0
AL_288,0.0
AL_125,0.0
AL_119,0.0
AL_128,0.0
AL_107,0.0
AL_89,0.0
AL_316,0.0
AL_320,0.0
AL_324,0.0
AL_113,0.0
AL_110,0.0
AL_116,0.0
AL_62,0.0
AL_332,0.0
miss_AL1_6,0.0
AL_328,0.0
miss_AL27_38,0.0
miss_AL16_25,0.0
miss_AL7_15,0.0
AL_74,0.0
AL_80,0.0
AL_41,0.0
AL_65,0.0
npops_tier_0,0.0
npops_tier_26,0.0
AL_44,0.0
AL_47,0.0
PM2_flag,0.0
BS2_proxy,0.0
AL_29,0.0
AL_27,0.0
AL_31,0.0
AL_35,0.0
AL_37,0.0
cat1_multipop,0.0
cat2_AllofUs_AMR,0.0
cat2_AllofUs_EAS,0.0
