threshold,f1_macro,precision,recall,mcc,youden_j
0.9,0.2397415185783522,0.0,0.0,0.0,0.0
0.905,0.2397415185783522,0.0,0.0,0.0,0.0
0.91,0.2397415185783522,0.0,0.0,0.0,0.0
0.915,0.2397415185783522,0.0,0.0,0.0,0.0
0.92,0.2397415185783522,0.0,0.0,0.0,0.0
0.925,0.2397415185783522,0.0,0.0,0.0,0.0
0.93,0.2397415185783522,0.0,0.0,0.0,0.0
0.935,0.2397415185783522,0.0,0.0,0.0,0.0
0.9400000000000001,0.2397415185783522,0.0,0.0,0.0,0.0
0.9450000000000001,0.2397415185783522,0.0,0.0,0.0,0.0
0.9500000000000001,0.2397415185783522,0.0,0.0,0.0,0.0
0.9550000000000001,0.2397415185783522,0.0,0.0,0.0,0.0
0.96,0.2397415185783522,0.0,0.0,0.0,0.0
0.965,0.2397415185783522,0.0,0.0,0.0,0.0
0.97,0.2397415185783522,0.0,0.0,0.0,0.0
0.975,0.2397415185783522,0.0,0.0,0.0,0.0
0.98,0.2397415185783522,0.0,0.0,0.0,0.0
0.985,0.2397415185783522,0.0,0.0,0.0,0.0
0.99,0.2397415185783522,0.0,0.0,0.0,0.0
0.995,0.2397415185783522,0.0,0.0,0.0,0.0
1.0,0.2397415185783522,0.0,0.0,0.0,0.0
