model_name,evaluation_split,threshold_source,threshold_strategy,threshold,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,f1_macro,f1_weighted,precision,recall,specificity,mcc,tn,fp,fn,tp
extra_trees,MASTER_CV,MASTER_CV,youden_j,0.66,0.7564810879728007,0.7603671523772715,0.828206434536149,0.8939175308845154,0.8082970893275343,0.7372877409363356,0.7635126129091158,0.8766328011611031,0.749844816883923,0.77088948787062,0.4911781003591706,572,170,403,1208
extra_trees,MASTER_CV,MASTER_CV,balanced_accuracy_opt,0.66,0.7564810879728007,0.7603671523772715,0.828206434536149,0.8939175308845154,0.8082970893275343,0.7372877409363356,0.7635126129091158,0.8766328011611031,0.749844816883923,0.77088948787062,0.4911781003591706,572,170,403,1208
extra_trees,MASTER_CV,MASTER_CV,recall_constrained_f1,0.496,0.782830429239269,0.7414435961658477,0.828206434536149,0.8939175308845154,0.8432996013492794,0.7448331916780999,0.7811983892999678,0.8333333333333334,0.8535071384233396,0.6293800539083558,0.4902027857412336,467,275,236,1375
extra_trees,MASTER_CV,MASTER_CV,specificity_constrained_f1,0.549,0.7824054398640033,0.7534918292533976,0.828206434536149,0.8939175308845154,0.8395989974937343,0.7507109914813455,0.7835387336083178,0.8475648323845667,0.8317815021725636,0.6752021563342318,0.5017288783793511,501,241,271,1340
lightgbm,MASTER_CV,MASTER_CV,default_0.5,0.5,0.7050573735656609,0.534162454553516,0.8375186763507625,0.9011216655590524,0.8223246287762417,0.4774123143881208,0.6047938703606143,0.6997821350762528,0.9968963376784605,0.07142857142857142,0.2047497799816007,53,689,5,1606
lightgbm,MASTER_CV,MASTER_CV,f1_macro_opt,0.631,0.7981300467488313,0.7471644572941083,0.8375186763507625,0.9011216655590524,0.8572287345957319,0.756388116391412,0.7936301466589658,0.831002331002331,0.8851644941030415,0.6091644204851752,0.5169367155703188,452,290,185,1426
lightgbm,MASTER_CV,MASTER_CV,mcc_opt,0.585,0.8091797705057373,0.7279723631837051,0.8375186763507625,0.9011216655590524,0.8718241507279475,0.7492952840090278,0.7945471264139328,0.8070824524312896,0.9478584729981379,0.5080862533692723,0.5337659809202171,377,365,84,1527
lightgbm,MASTER_CV,MASTER_CV,youden_j,0.681,0.7688057798555036,0.7671868438180234,0.8375186763507625,0.9011216655590524,0.8204620462046205,0.7479398536512363,0.7747234428262856,0.875968992248062,0.771570453134699,0.7628032345013477,0.5074931124414884,566,176,368,1243
lightgbm,MASTER_CV,MASTER_CV,balanced_accuracy_opt,0.681,0.7688057798555036,0.7671868438180234,0.8375186763507625,0.9011216655590524,0.8204620462046205,0.7479398536512363,0.7747234428262856,0.875968992248062,0.771570453134699,0.7628032345013477,0.5074931124414884,566,176,368,1243
lightgbm,MASTER_CV,MASTER_CV,recall_constrained_f1,0.631,0.7981300467488313,0.7471644572941083,0.8375186763507625,0.9011216655590524,0.8572287345957319,0.756388116391412,0.7936301466589658,0.831002331002331,0.8851644941030415,0.6091644204851752,0.5169367155703188,452,290,185,1426
lightgbm,MASTER_CV,MASTER_CV,specificity_constrained_f1,0.631,0.7981300467488313,0.7471644572941083,0.8375186763507625,0.9011216655590524,0.8572287345957319,0.756388116391412,0.7936301466589658,0.831002331002331,0.8851644941030415,0.6091644204851752,0.5169367155703188,452,290,185,1426
logistic_regression_ek_only,MASTER_CV,MASTER_CV,default_0.5,0.5,0.694857628559286,0.645574311380151,0.7052441017867391,0.8148638182682375,0.7775712515489467,0.6458898206323894,0.6945218493049301,0.7761286332714904,0.7790192427063936,0.5121293800539084,0.2917900952675554,380,362,356,1255
logistic_regression_ek_only,MASTER_CV,MASTER_CV,f1_macro_opt,0.505,0.694857628559286,0.6477552406718634,0.7052441017867391,0.8148638182682375,0.7767412935323383,0.6474310494507329,0.6951873614383721,0.7781931464174455,0.7752948479205463,0.5202156334231806,0.2948725156156038,386,356,362,1249
logistic_regression_ek_only,MASTER_CV,MASTER_CV,mcc_opt,0.505,0.694857628559286,0.6477552406718634,0.7052441017867391,0.8148638182682375,0.7767412935323383,0.6474310494507329,0.6951873614383721,0.7781931464174455,0.7752948479205463,0.5202156334231806,0.2948725156156038,386,356,362,1249
logistic_regression_ek_only,MASTER_CV,MASTER_CV,youden_j,0.594,0.5958351041223969,0.653226386651073,0.7052441017867391,0.8148638182682375,0.627788649706458,0.5928343527472317,0.6057435257423732,0.8495762711864406,0.4978274363749224,0.8086253369272237,0.2905171567159786,600,142,809,802
logistic_regression_ek_only,MASTER_CV,MASTER_CV,balanced_accuracy_opt,0.594,0.5958351041223969,0.653226386651073,0.7052441017867391,0.8148638182682375,0.627788649706458,0.5928343527472317,0.6057435257423732,0.8495762711864406,0.4978274363749224,0.8086253369272237,0.2905171567159786,600,142,809,802
logistic_regression_ek_only,MASTER_CV,MASTER_CV,recall_constrained_f1,0.404,0.7110072248193795,0.623927312395743,0.7052441017867391,0.8148638182682375,0.8028985507246377,0.6307486384196437,0.6943263153397626,0.7531266992930941,0.8597144630664184,0.3881401617250674,0.2787239741322637,288,454,226,1385
logistic_regression_ek_only,MASTER_CV,MASTER_CV,specificity_constrained_f1,0.537,0.6770080747981301,0.6452610171646749,0.7052441017867391,0.8148638182682375,0.7560975609756098,0.6390550697959809,0.6822807072099619,0.7827242524916943,0.7312228429546865,0.5592991913746631,0.28116588402714926,415,327,433,1178
logistic_regression_ek_only_stack_run,MASTER_CV,MASTER_CV,default_0.5,0.5,0.694857628559286,0.645574311380151,0.7052441017867391,0.8148638182682375,0.7775712515489467,0.6458898206323894,0.6945218493049301,0.7761286332714904,0.7790192427063936,0.5121293800539084,0.2917900952675554,380,362,356,1255
logistic_regression_ek_only_stack_run,MASTER_CV,MASTER_CV,f1_macro_opt,0.505,0.694857628559286,0.6477552406718634,0.7052441017867391,0.8148638182682375,0.7767412935323383,0.6474310494507329,0.6951873614383721,0.7781931464174455,0.7752948479205463,0.5202156334231806,0.2948725156156038,386,356,362,1249
logistic_regression_ek_only_stack_run,MASTER_CV,MASTER_CV,mcc_opt,0.505,0.694857628559286,0.6477552406718634,0.7052441017867391,0.8148638182682375,0.7767412935323383,0.6474310494507329,0.6951873614383721,0.7781931464174455,0.7752948479205463,0.5202156334231806,0.2948725156156038,386,356,362,1249
logistic_regression_ek_only_stack_run,MASTER_CV,MASTER_CV,youden_j,0.594,0.5958351041223969,0.653226386651073,0.7052441017867391,0.8148638182682375,0.627788649706458,0.5928343527472317,0.6057435257423732,0.8495762711864406,0.4978274363749224,0.8086253369272237,0.2905171567159786,600,142,809,802
logistic_regression_ek_only_stack_run,MASTER_CV,MASTER_CV,balanced_accuracy_opt,0.594,0.5958351041223969,0.653226386651073,0.7052441017867391,0.8148638182682375,0.627788649706458,0.5928343527472317,0.6057435257423732,0.8495762711864406,0.4978274363749224,0.8086253369272237,0.2905171567159786,600,142,809,802
logistic_regression_ek_only_stack_run,MASTER_CV,MASTER_CV,recall_constrained_f1,0.404,0.7110072248193795,0.623927312395743,0.7052441017867391,0.8148638182682375,0.8028985507246377,0.6307486384196437,0.6943263153397626,0.7531266992930941,0.8597144630664184,0.3881401617250674,0.2787239741322637,288,454,226,1385
logistic_regression_ek_only_stack_run,MASTER_CV,MASTER_CV,specificity_constrained_f1,0.537,0.6770080747981301,0.6452610171646749,0.7052441017867391,0.8148638182682375,0.7560975609756098,0.6390550697959809,0.6822807072099619,0.7827242524916943,0.7312228429546865,0.5592991913746631,0.28116588402714926,415,327,433,1178
majority_baseline,MASTER_CV,MASTER_CV,default_0.5,0.5,0.6846578835529111,0.5,0.5,0.6846578835529111,0.8128153380423815,0.40640766902119074,0.556500429063441,0.6846578835529111,1.0,0.0,0.0,0,742,0,1611
majority_baseline,MASTER_CV,MASTER_CV,f1_macro_opt,0.0,0.6846578835529111,0.5,0.5,0.6846578835529111,0.8128153380423815,0.40640766902119074,0.556500429063441,0.6846578835529111,1.0,0.0,0.0,0,742,0,1611
majority_baseline,MASTER_CV,MASTER_CV,mcc_opt,0.0,0.6846578835529111,0.5,0.5,0.6846578835529111,0.8128153380423815,0.40640766902119074,0.556500429063441,0.6846578835529111,1.0,0.0,0.0,0,742,0,1611
majority_baseline,MASTER_CV,MASTER_CV,youden_j,0.0,0.6846578835529111,0.5,0.5,0.6846578835529111,0.8128153380423815,0.40640766902119074,0.556500429063441,0.6846578835529111,1.0,0.0,0.0,0,742,0,1611
majority_baseline,MASTER_CV,MASTER_CV,balanced_accuracy_opt,0.0,0.6846578835529111,0.5,0.5,0.6846578835529111,0.8128153380423815,0.40640766902119074,0.556500429063441,0.6846578835529111,1.0,0.0,0.0,0,742,0,1611
majority_baseline,MASTER_CV,MASTER_CV,recall_constrained_f1,0.0,0.6846578835529111,0.5,0.5,0.6846578835529111,0.8128153380423815,0.40640766902119074,0.556500429063441,0.6846578835529111,1.0,0.0,0.0,0,742,0,1611
majority_baseline,MASTER_CV,MASTER_CV,specificity_constrained_f1,0.0,0.6846578835529111,0.5,0.5,0.6846578835529111,0.8128153380423815,0.40640766902119074,0.556500429063441,0.6846578835529111,1.0,0.0,0.0,0,742,0,1611
xgboost,MASTER_CV,MASTER_CV,default_0.5,0.5,0.8011049723756906,0.6988121589945138,0.8416889611682487,0.8976593463613229,0.8704318936877077,0.7213219797506181,0.7763906219993775,0.7856071964017991,0.9757914338919925,0.42183288409703507,0.5179976434566249,313,429,39,1572
xgboost,MASTER_CV,MASTER_CV,f1_macro_opt,0.666,0.8083297917552061,0.7611560347409404,0.8416889611682487,0.8976593463613229,0.8639517345399699,0.7698622799227528,0.8046109990312788,0.8403755868544601,0.8888888888888888,0.633423180592992,0.543028521660582,470,272,179,1432
xgboost,MASTER_CV,MASTER_CV,mcc_opt,0.613,0.815129621759456,0.7504919011981308,0.8416889611682487,0.8976593463613229,0.8726953467954346,0.7676122195575311,0.8064210753032762,0.8255813953488372,0.925512104283054,0.5754716981132075,0.5510878947251144,427,315,120,1491
xgboost,MASTER_CV,MASTER_CV,youden_j,0.719,0.7679558011049724,0.7647486702772883,0.8416889611682487,0.8976593463613229,0.8202764976958525,0.7464691840997248,0.7737273887384987,0.8731604765241766,0.7734326505276226,0.7560646900269542,0.5036119492651903,561,181,365,1246
xgboost,MASTER_CV,MASTER_CV,balanced_accuracy_opt,0.719,0.7679558011049724,0.7647486702772883,0.8416889611682487,0.8976593463613229,0.8202764976958525,0.7464691840997248,0.7737273887384987,0.8731604765241766,0.7734326505276226,0.7560646900269542,0.5036119492651903,561,181,365,1246
xgboost,MASTER_CV,MASTER_CV,recall_constrained_f1,0.666,0.8083297917552061,0.7611560347409404,0.8416889611682487,0.8976593463613229,0.8639517345399699,0.7698622799227528,0.8046109990312788,0.8403755868544601,0.8888888888888888,0.633423180592992,0.543028521660582,470,272,179,1432
xgboost,MASTER_CV,MASTER_CV,specificity_constrained_f1,0.666,0.8083297917552061,0.7611560347409404,0.8416889611682487,0.8976593463613229,0.8639517345399699,0.7698622799227528,0.8046109990312788,0.8403755868544601,0.8888888888888888,0.633423180592992,0.543028521660582,470,272,179,1432
lightgbm,CFTR_unique,MASTER_CV,default_0.5,0.5,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15
lightgbm,CFTR_unique,MASTER_CV,f1_macro_opt,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15
lightgbm,CFTR_unique,MASTER_CV,mcc_opt,0.585,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15
lightgbm,CFTR_unique,MASTER_CV,youden_j,0.681,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15
