trial,state,medical_utility_score,param_n_estimators,param_learning_rate,param_num_leaves,param_max_depth,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_min_split_gain,param_scale_pos_weight,fold_0_medical_utility_score,fold_0_threshold,fold_1_medical_utility_score,fold_1_threshold,fold_2_medical_utility_score,fold_2_threshold,fold_3_medical_utility_score,fold_3_threshold,fold_4_medical_utility_score,fold_4_threshold,mean_balanced_accuracy,mean_best_iteration,mean_f1_macro,mean_mcc,mean_medical_utility_score,mean_pathogenic_recall,mean_pr_auc,mean_roc_auc,mean_specificity,std_balanced_accuracy,std_f1_macro,std_mcc,std_medical_utility_score,std_pathogenic_recall,std_pr_auc,std_roc_auc,std_specificity,threshold_mean,threshold_median,threshold_std
27,COMPLETE,0.7833114460208606,850,0.02317878717843671,55,8,81,0.7584445108093623,0.6588317821341457,0.06140286806822697,1.7394207475722112,0.05237748209815726,0.5864915666535537,0.7939236493763425,0.5469970888926765,0.790720778484976,0.5277739045572485,0.7978630428658712,0.4562307595975769,0.7904266042630362,0.628415806697973,0.7833114460208606,0.39167144172015206,0.7740491683478539,116.4,0.7840821357840068,0.5754779691954555,0.7833114460208606,0.9011398909061951,0.9086015211677715,0.8512497626368096,0.6469584457895123,0.02063716688162098,0.021204740127491354,0.040801082784889885,0.022375798154266782,0.039125736496965095,0.0188929486227272,0.021664327591456478,0.05626879804966385,0.5102178002931255,0.5277739045572485,0.09027671526877379
28,COMPLETE,0.7853598790290083,2000,0.04451982150990319,56,3,36,0.7157099961940483,0.8365270886773559,0.010711183038417532,0.9753530307509618,0.04877049662149186,0.3138764209053905,0.7993685347123426,0.41575056060955606,0.7988625445495837,0.35194379742175724,0.8006792970721187,0.30962625106841557,0.7924922249074611,0.40094602312256544,0.7853598790290083,0.30586364497360535,0.7756893669974261,123.0,0.7866855461995419,0.5796875123849194,0.7853598790290083,0.9056053821379908,0.9097513746574849,0.8514878760030895,0.645773351856861,0.019001906158215925,0.019727278599195354,0.03967102937495389,0.02145961644932081,0.027412069215597766,0.0162966933350601,0.020161110874383284,0.04043741986538998,0.35682605543917995,0.35194379742175724,0.05066432204817677
29,COMPLETE,0.7862197550333627,1650,0.033576496390898006,67,3,47,0.6712036667989706,0.9038605751590584,0.015338252390100993,2.649160324989633,0.046295680197992795,0.31910576624352277,0.7982173660003277,0.35954804640569915,0.7967372765829996,0.37478185474348774,0.7982000474567291,0.3102826424681017,0.7913943195124173,0.39288877020717555,0.7862197550333627,0.33602471352865393,0.7780144887895512,190.6,0.7881500649868801,0.5816843143329035,0.7862197550333627,0.902432282358007,0.9091560627199151,0.8510039270133583,0.6535966952210952,0.011763751518690914,0.013632270429294876,0.02809259795428836,0.01664750031027524,0.028914707779631732,0.01811209113383886,0.019635629618739502,0.03284498263593512,0.35470520547062356,0.35954804640569915,0.032430057251127055
30,COMPLETE,0.7853154519949457,1250,0.033559607208561174,54,3,42,0.6730517234753407,0.9181426805299403,0.06746456986390084,7.146902279502172,0.05076316070201386,0.41796248447132645,0.7980571172834056,0.4339789850414242,0.7972503075212598,0.43203620399894527,0.7989676230114148,0.3779573822505816,0.7916291996273224,0.4738717196464083,0.7853154519949457,0.34315379574720967,0.7768101645856575,171.2,0.7864933604029563,0.5794134622148327,0.7853154519949457,0.9011651175582335,0.9097834639137797,0.8511675345354227,0.6524552116130817,0.018073508786954424,0.017408321488052405,0.0318990959878415,0.01912128784508329,0.033844277318331964,0.01690995754260719,0.02036285085164984,0.05204149882702879,0.4121996173369138,0.43203620399894527,0.0515051826857895
31,COMPLETE,0.7835909135187651,1800,0.03584177162701038,63,3,32,0.7247780330251525,0.933295604076971,0.011525416133808928,1.165069597343217,0.03162177482656229,0.3088385533426771,0.7968834204716149,0.3888642502352292,0.7948509883307453,0.36309725173955465,0.7956592915402642,0.36076926228995443,0.7900814706297083,0.4071045899030527,0.7835909135187651,0.2830719326872647,0.7757073814923003,159.4,0.7846147393846792,0.5752677322834885,0.7835909135187651,0.8987058242348098,0.9090228456733869,0.8503886214985604,0.6527089387497906,0.02002433684538384,0.016099634784556692,0.0258748687645465,0.017521938754149886,0.02709532133818348,0.014263747285857274,0.0195816926568395,0.05874504817938658,0.3605814573710111,0.36309725173955465,0.047377233829886164
32,PRUNED,0.7918514650083414,1950,0.021486221027932267,35,3,36,0.661994285321586,0.8575555676680428,0.011696494699126021,4.055655045185723,0.0758627398953676,0.39250588610782006,0.7942452447704468,0.3971242843379412,0.7922046404859091,0.4104195965954593,0.7918514650083414,0.4121103991870198,,,,,,,,,,,,,,,,,,,,,,,,
33,PRUNED,0.7949897871321866,1750,0.0345997645622141,58,4,85,0.6739480583895068,0.9335606256288206,0.028728645410320282,3.2421186698949986,0.03588398486670326,0.3977603135394927,0.7931241298153793,0.4824458737516803,0.7925985364055615,0.432141625749186,0.7949897871321866,0.3576170529087391,,,,,,,,,,,,,,,,,,,,,,,,
34,COMPLETE,0.7847230929021316,1500,0.04268164239588605,30,7,90,0.6753215192696546,0.6151963751913434,0.010462977647453232,1.2446367598835146,0.0719571589487568,0.3483300402777176,0.8096636957168941,0.6204161976899855,0.8012958359966196,0.3599104458078752,0.7989777293966647,0.36566675398465515,0.7917301834241333,0.41680846315079323,0.7847230929021316,0.35772134657286886,0.7772480091476359,88.2,0.786749260753483,0.5788933966061832,0.7847230929021316,0.9006633848572255,0.907159496520768,0.8502924867440662,0.6538326334380463,0.020178200452948897,0.01851319049783068,0.03618860382103139,0.021122223397448535,0.026490906333987072,0.018153185103348096,0.02065964912301201,0.048719829795706666,0.4241046414412356,0.36566675398465515,0.11239893751214315
35,COMPLETE,0.7807770332114916,1450,0.04515218176494291,29,4,69,0.6587298126505234,0.821040304972247,0.015159739737687736,0.9722413829856251,0.060350102706654064,0.3270904398919129,0.7972070588356043,0.3830939132721342,0.7930815060141138,0.37764114073105026,0.7901715350695926,0.3420280844255907,0.7869904643961719,0.3890035994151115,0.7807770332114916,0.44148106860394887,0.7709087876319656,97.2,0.7814159066033486,0.568227926143076,0.7807770332114916,0.9006437854282059,0.9096095599918765,0.8503753448322087,0.6411737898357254,0.009604471366594602,0.011514914739055828,0.025730909516772513,0.01563979720808639,0.023915433983526593,0.016185517204373966,0.020404621517204076,0.02571429657836734,0.3866495612895672,0.3830939132721342,0.03569630989741441
36,COMPLETE,0.7809136009228208,1650,0.05195213565511373,80,3,37,0.7441650466682975,0.8051690385150498,0.015336345722096335,0.7456467806601514,0.06842182943957345,0.3682438810174713,0.8040352070718906,0.40744812051258944,0.793721374960092,0.39956808738159666,0.794497264702619,0.4445382653949555,0.787507243884467,0.38157875461355273,0.7809136009228208,0.29840003472114385,0.7699161873844226,90.8,0.7812729800710014,0.5708973183387492,0.7809136009228208,0.9080808846950152,0.9085424113540699,0.8493455155848393,0.6317514900738299,0.024037577413498604,0.019474695051173437,0.03274301508761396,0.020446329362429568,0.018826166856270633,0.016818482297966994,0.022275354932600834,0.061895862798898374,0.38630665252476765,0.39956808738159666,0.05423023725961537
37,COMPLETE,0.7825659361891841,700,0.017088883049310593,26,7,98,0.6881720913344623,0.5628906359273269,0.46359052035697923,1.4548082378215443,0.05799512047174657,0.62238138550703,0.8019271554175623,0.5424765623565875,0.7959997943514181,0.5097539606251258,0.7978689416537957,0.47930402086845586,0.7900990853730422,0.5850332714166463,0.7825659361891841,0.5062212785723426,0.7746591912411012,222.6,0.7834170112993872,0.5711932425495051,0.7825659361891841,0.8944131349058886,0.909690495528166,0.8516503889289655,0.6549052475763136,0.016936788763919595,0.02008620462672372,0.04143704320619908,0.022083049043626325,0.033828892973397674,0.016595737065316297,0.020432137486574353,0.033306517999865025,0.5245578187678316,0.5097539606251258,0.04056368724440092
38,PRUNED,0.7924095990358014,1700,0.050621234197608445,23,4,30,0.6928231380690416,0.9124201002531666,0.028612622254052054,4.340256717585309,0.05405976006694666,0.3073351829772044,0.7803660143463245,0.32734066195022565,0.7884412168543529,0.34444417664650157,0.7924095990358014,0.3624860191840296,,,,,,,,,,,,,,,,,,,,,,,,
